Time: 2018-09-22 00:26:16, Humidity: 87%,  Temperature: 29C`
Time: 2018-09-22 01:26:21, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-22 02:26:25, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-22 03:26:29, Humidity: 89%,  Temperature: 29C`
Time: 2018-09-22 04:26:33, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 05:26:37, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 06:26:42, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 07:26:46, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 08:26:50, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 09:26:55, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 10:26:59, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 11:27:03, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 12:27:07, Humidity: 90%,  Temperature: 29C`
Time: 2018-09-22 13:27:11, Humidity: 89%,  Temperature: 29C`
Time: 2018-09-22 14:27:15, Humidity: 81%,  Temperature: 29C`
Time: 2018-09-22 15:27:21, Humidity: 81%,  Temperature: 29C`
Time: 2018-09-22 16:27:24, Humidity: 80%,  Temperature: 29C`
Time: 2018-09-22 17:27:28, Humidity: 83%,  Temperature: 29C`
Time: 2018-09-22 18:27:32, Humidity: 87%,  Temperature: 29C`
Time: 2018-09-22 19:27:37, Humidity: 87%,  Temperature: 29C`
Time: 2018-09-22 20:27:41, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-22 21:27:46, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-22 22:27:50, Humidity: 86%,  Temperature: 29C`
Time: 2018-09-22 23:27:54, Humidity: 84%,  Temperature: 29C`
