Time,Humidity(%),Temperature(C)
00:34:24,77,32
01:04:30,77,32
01:34:32,77,32
02:04:35,77,32
02:34:37,78,32
03:04:39,77,31
03:34:42,77,31
04:04:44,77,31
04:34:45,77,31
05:04:47,77,31
05:34:50,77,31
06:04:52,77,31
06:34:54,77,31
07:04:56,77,31
07:34:59,77,31
08:05:01,76,31
08:35:05,76,31
09:05:08,76,31
09:35:09,76,31
10:05:11,77,31
10:35:15,78,31
11:05:17,77,31
11:35:19,77,31
12:05:21,73,31
12:35:24,73,31
13:05:26,72,31
13:35:28,68,31
14:05:31,68,31
14:35:33,67,31
15:05:35,68,31
15:35:37,68,31
16:05:38,69,31
16:35:40,69,31
17:05:42,69,31
17:35:44,70,31
18:05:46,70,31
18:35:48,69,31
19:05:51,70,31
19:35:54,70,31
20:05:56,71,31
20:35:58,71,31
21:06:00,72,31
21:36:02,62,29
22:06:04,50,27
